,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
R/Ohm,0.046424,-0.014959,-0.058212,-0.086246,-0.12109,-0.14105,-0.1714,-0.19343,-0.21153000000000002,-0.24001,-0.26263000000000003,-0.28967,-0.31356999999999996,-0.34323000000000004,-0.37068,-0.3972,-0.42781,-0.45483,-0.47997,-0.5104,-0.53719,-0.56614,-0.59246,-0.6129399999999999,-0.63543,-0.65089,-0.66481,-0.67004,-0.6713899999999999,-0.6634,-0.65,-0.62461,-0.5957100000000001,-0.55701,-0.50848,-0.45838,-0.40451,-0.34656,-0.29484,-0.24191999999999997,-0.1912,-0.14690999999999999,-0.1116,-0.082123,-0.056055999999999995,-0.037545999999999996,-0.027205,-0.018496000000000002,-0.007915,-0.011816,,,,,,
R/Ohm,0.29593,0.18672,0.10499000000000001,0.030416000000000002,-0.022866,-0.071279,-0.10658,-0.13587,-0.16216,-0.19024000000000002,-0.2134,-0.23578000000000002,-0.25915,-0.28473000000000004,-0.31294,-0.34010999999999997,-0.36901999999999996,-0.39951,-0.4298,-0.46166,-0.49396999999999996,-0.52603,-0.5589,-0.59215,-0.62585,-0.65956,-0.69287,-0.7270399999999999,-0.7591100000000001,-0.79065,-0.81986,-0.8439700000000001,-0.8644799999999999,-0.8776200000000001,-0.8798,-0.8745,-0.8537799999999999,-0.8195600000000001,-0.77058,-0.7035600000000001,-0.6227600000000001,-0.5381600000000001,-0.44664,-0.35878000000000004,-0.27669,-0.20909,-0.15341,-0.10387,-0.067624,-0.040815,-0.028576,-0.020117,-0.0068669,,,
R/Ohm,0.088488,0.025873,-0.031191000000000003,-0.072431,-0.10987999999999999,-0.13897,-0.17723,-0.19894,-0.22211,-0.24908000000000002,-0.27176999999999996,-0.30116,-0.32628,-0.35306,-0.38425,-0.41439,-0.44416000000000005,-0.47661000000000003,-0.50903,-0.53671,-0.5649,-0.59696,-0.62358,-0.65275,-0.6824399999999999,-0.70515,-0.7244,-0.74003,-0.7493,-0.75035,-0.74468,-0.72817,-0.70495,-0.66299,-0.61547,-0.56196,-0.49861000000000005,-0.4313,-0.36630999999999997,-0.30198,-0.24363,-0.18822,-0.14468,-0.10615999999999999,-0.07334,-0.048912,-0.034358,-0.02195,-0.010882,-0.013956999999999999,,,,,,
R/Ohm,0.032272,-0.019727,-0.064765,-0.099393,-0.13078,-0.15571,-0.18331,-0.20654,-0.22874,-0.2524,-0.27724,-0.30521,-0.3315,-0.35984,-0.38952,-0.4229,-0.45302,-0.4834,-0.51525,-0.5462100000000001,-0.57691,-0.6097,-0.63945,-0.66848,-0.69577,-0.72235,-0.74664,-0.76646,-0.78182,-0.78983,-0.78989,-0.7801899999999999,-0.76376,-0.73878,-0.69543,-0.64242,-0.5825100000000001,-0.50898,-0.44008,-0.36537,-0.29099,-0.22676999999999997,-0.17392,-0.1283,-0.08926,-0.05729600000000001,-0.036316,-0.025889,-0.018526,-0.0074877,,,,,,
R/Ohm,-0.00054782,-0.046998000000000005,-0.08769,-0.11929000000000001,-0.1459,-0.16812,-0.1986,-0.21923,-0.23955,-0.26223,-0.28552,-0.31294,-0.33774,-0.36548,-0.3953,-0.42396000000000006,-0.45525,-0.4865,-0.51669,-0.5491699999999999,-0.58136,-0.61431,-0.64555,-0.67828,-0.7129300000000001,-0.74239,-0.77059,-0.79755,-0.8195899999999999,-0.83483,-0.8431200000000001,-0.84088,-0.8322700000000001,-0.80414,-0.76417,-0.71431,-0.64846,-0.57199,-0.4924,-0.41036999999999996,-0.33316999999999997,-0.25911,-0.19951,-0.14606,-0.10136,-0.06852799999999999,-0.044469,-0.026366000000000004,-0.018944,,,,,,,
R/Ohm,0.12052,0.053648,0.012348,-0.017051,-0.059098000000000005,-0.10298,-0.13344,-0.1638,-0.18536,-0.20251,-0.22300999999999999,-0.25021,-0.26686,-0.29057,-0.32424000000000003,-0.34896,-0.37478,-0.4049,-0.43681000000000003,-0.46928000000000003,-0.50242,-0.5334399999999999,-0.56599,-0.60033,-0.62979,-0.6681600000000001,-0.69843,-0.72706,-0.7589600000000001,-0.78469,-0.80615,-0.83024,-0.84262,-0.8491,-0.8437399999999999,-0.8306,-0.80842,-0.76243,-0.70596,-0.6383800000000001,-0.55792,-0.47972,-0.39701,-0.31275,-0.23995999999999998,-0.18181,-0.13247,-0.091953,-0.060326,-0.041686,-0.027405000000000002,-0.013097,-0.014575999999999999,,,
R/Ohm,0.030866,-0.020812,-0.065652,-0.098941,-0.12924000000000002,-0.15473,-0.18466,-0.20567,-0.22755999999999998,-0.25013,-0.27409,-0.30115,-0.32621,-0.35409,-0.38264000000000004,-0.41035,-0.44053000000000003,-0.47063999999999995,-0.49918,-0.52992,-0.56014,-0.58962,-0.61855,-0.6471600000000001,-0.67774,-0.70117,-0.72163,-0.73819,-0.74831,-0.7516,-0.74837,-0.73245,-0.7105899999999999,-0.67109,-0.6246,-0.57268,-0.50971,-0.44236000000000003,-0.37558,-0.30973,-0.2515,-0.1957,-0.14945999999999998,-0.10976,-0.076913,-0.051326,-0.033395,-0.020005000000000002,-0.015256,-0.005107100000000001,-0.013494999999999998,,,,,
R/Ohm,0.012785,-0.026387999999999998,-0.06066900000000001,-0.091901,-0.1192,-0.1436,-0.169,-0.19052,-0.21216,-0.23490999999999998,-0.25875,-0.28345,-0.30939,-0.3364,-0.36471,-0.39124000000000003,-0.42073,-0.44978,-0.48049,-0.50685,-0.53094,-0.5613600000000001,-0.58622,-0.6117,-0.6352399999999999,-0.65492,-0.6675399999999999,-0.67783,-0.67873,-0.67209,-0.65878,-0.63618,-0.6048100000000001,-0.57111,-0.5262899999999999,-0.47542,-0.41686000000000006,-0.36034,-0.30605,-0.25101999999999997,-0.20519,-0.15904000000000001,-0.11828,-0.085851,-0.063451,-0.049101,-0.032285,-0.022143,-0.015566,-0.015727,,,,,,
R/Ohm,0.31411999999999995,0.19945,0.11163,0.034777999999999996,-0.020311000000000003,-0.069852,-0.10645999999999999,-0.14038,-0.16677999999999998,-0.19562000000000002,-0.22034,-0.24314000000000002,-0.26754,-0.29281999999999997,-0.32151,-0.34924,-0.37878,-0.40985,-0.44168,-0.47413999999999995,-0.5080899999999999,-0.5422899999999999,-0.57648,-0.61285,-0.64868,-0.6852699999999999,-0.72006,-0.7592399999999999,-0.7975399999999999,-0.8351,-0.87265,-0.9103100000000001,-0.9427399999999999,-0.97201,-0.9928299999999999,-1.0094,-1.0132,-0.9946799999999999,-0.96229,-0.90746,-0.82788,-0.73338,-0.62173,-0.50375,-0.38908000000000004,-0.29245,-0.21005,-0.13997,-0.088439,-0.056714,-0.037643,-0.026052999999999996,-0.014905000000000002,,,
R/Ohm,0.2243,0.13996,0.06141,0.0063051,-0.049386,-0.078933,-0.11868,-0.14723,-0.17506,-0.20623000000000002,-0.23404,-0.26095999999999997,-0.28989000000000004,-0.32093,-0.34663,-0.37379,-0.40385,-0.4307,-0.45968000000000003,-0.48266000000000003,-0.50592,-0.5351899999999999,-0.55515,-0.57765,-0.59643,-0.6097600000000001,-0.6167699999999999,-0.61907,-0.61516,-0.60293,-0.5838800000000001,-0.55767,-0.52808,-0.49222,-0.44497,-0.40010999999999997,-0.35212,-0.30029,-0.25417,-0.2077,-0.1617,-0.12377,-0.09337100000000001,-0.068034,-0.044093,-0.027969,-0.019659,-0.013658000000000002,-0.007210200000000001,-0.008997100000000001,,,,,,
R/Ohm,0.0091632,-0.037439,-0.076973,-0.1085,-0.13572,-0.15753,-0.18483,-0.2059,-0.22601,-0.24758000000000002,-0.27133,-0.29730999999999996,-0.32209,-0.34902,-0.3773,-0.40509,-0.43486,-0.46426999999999996,-0.49303,-0.52225,-0.55153,-0.5808800000000001,-0.60929,-0.63605,-0.66392,-0.6854399999999999,-0.70411,-0.71863,-0.72655,-0.72622,-0.7186100000000001,-0.69862,-0.67309,-0.63608,-0.5858399999999999,-0.53135,-0.47153999999999996,-0.40687,-0.34504,-0.28368000000000004,-0.22676999999999997,-0.17347,-0.1324,-0.095658,-0.065272,-0.041335000000000004,-0.025773,-0.017361,-0.016543000000000002,-0.0027335000000000003,,,,,,
R/Ohm,0.025619,-0.022276,-0.066804,-0.10235,-0.12637,-0.15571,-0.17806,-0.20147,-0.21625999999999998,-0.24264000000000002,-0.26909,-0.29589,-0.32226,-0.34542,-0.3776,-0.40902,-0.43538000000000004,-0.46761,-0.49649,-0.5253,-0.54986,-0.58017,-0.6116199999999999,-0.63261,-0.65745,-0.67774,-0.69534,-0.7044600000000001,-0.71192,-0.70503,-0.69492,-0.67432,-0.64759,-0.60951,-0.55833,-0.50531,-0.44588,-0.38314000000000004,-0.32531,-0.26636,-0.21119000000000002,-0.16139,-0.12264000000000001,-0.090072,-0.061587,-0.041208,-0.029367,-0.019206,-0.007821600000000001,-0.011011,,,,,,
R/Ohm,0.32827,0.22146999999999997,0.1334,0.057413,0.0060076999999999995,-0.038607,-0.071243,-0.10086,-0.12322000000000001,-0.14423,-0.16758,-0.19032000000000002,-0.21348000000000003,-0.2368,-0.26195,-0.28591,-0.31017,-0.33525,-0.36178,-0.38669000000000003,-0.41147,-0.43585,-0.46002,-0.48331,-0.50715,-0.52736,-0.5452899999999999,-0.5613100000000001,-0.57122,-0.57605,-0.57493,-0.5675100000000001,-0.55301,-0.5313899999999999,-0.50561,-0.47591000000000006,-0.44043000000000004,-0.39978,-0.35677,-0.31304,-0.26587,-0.22543000000000002,-0.18327000000000002,-0.14378,-0.10903,-0.083582,-0.060212,-0.041648000000000004,-0.026160000000000003,-0.015953,-0.0092896,-0.0090855,-0.00064185,,,
