,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
impedance,3.8626,3.8785,3.8829,3.8968,3.9106,3.923,3.9397,3.9593,3.9804,4.0046,4.0317,4.0609,4.095,4.1313,4.1721,4.2178,4.2667,4.3197,4.3762,4.4358,4.4983,4.5634,4.6303,4.6972,4.7649,4.8308,4.8962,4.9581,5.0174,5.0718,5.1219,5.1654,5.2044,5.2284,5.2578,5.2837,5.305,5.3252,5.3429,5.3575,5.3683,5.3796,5.3893,5.4011,5.4172,5.4457,5.4975,5.5106,5.4133,5.462
impedance,4.3107,4.324,4.3377,4.3538,4.3738,4.391,4.4156,4.4377,4.4665,4.4956,4.5287,4.5677,4.6073,4.6527,4.7027,4.7573,4.8154,4.8784,4.9442,5.0139,5.0861,5.1607,5.2387,5.3167,5.3984,5.4794,5.561,5.6435,5.7258,5.806,5.8805,5.9546,6.0223,6.0727,6.1292,6.181,6.226,6.2636,6.2926,6.3204,6.3398,6.3563,6.3691,6.3827,6.398,6.4368,6.5014,6.5512,6.4399,6.4765
impedance,3.6765,3.6905,3.7132,3.7375,3.7732,3.8164,3.8699,3.935,4.0147,4.109,4.2129,4.3283,4.4483,4.5667,4.6755,4.7677,4.8405,4.8918,4.936,4.9659,4.9865,4.9982,5.0074,5.0057,5.0012,5.0007,,,,,,,,,,,,,,,,,,,,,,,,
impedance,3.3602,3.3627,3.3703,3.378,3.3893,3.3997,3.4126,3.4278,3.4468,3.4675,3.4913,3.5183,3.5493,3.5829,3.6201,3.6605,3.7016,3.7474,3.7938,3.8436,3.8927,3.9426,3.9921,4.0421,4.0914,4.1377,4.1817,4.2222,4.2575,4.2883,4.3153,4.3388,4.3581,4.3642,4.3746,4.3808,4.3868,4.3898,4.3904,4.3905,4.3887,4.386,4.3848,4.3826,4.3807,,,,,
impedance,3.4455,3.4524,3.459,3.4701,3.4793,3.4912,3.5049,3.5206,3.5389,3.5594,3.5811,3.6058,3.6345,3.6666,3.7011,3.7396,3.7824,3.8283,3.8772,3.9299,3.9846,4.0404,4.0978,4.1545,4.2089,4.2628,4.315,4.362,4.4052,4.4429,4.4794,4.5051,4.5339,4.5476,4.5775,4.603,4.6219,4.6385,4.655,4.6684,4.6832,4.6928,4.7011,4.7042,4.7028,4.6837,4.6835,4.6449,4.6971,4.6589
impedance,3.8494,3.8589,3.8702,3.883,3.8967,3.9127,3.929,3.9487,3.9706,3.9951,4.0222,4.0526,4.0861,4.1241,4.1647,4.21,4.2601,4.3126,4.3689,4.4287,4.492,4.5563,4.6221,4.6903,4.7564,4.8233,4.8895,4.9503,5.0102,5.0661,5.1158,5.1611,5.2005,5.2271,5.257,5.283,5.3067,5.3265,5.3441,5.3596,5.3701,5.3836,5.3923,5.4042,5.4211,5.4499,5.5038,5.5156,5.4249,5.4858
impedance,3.4593,3.4663,3.4773,3.4892,3.5054,3.5213,3.5417,3.5659,3.5938,3.6246,3.6613,3.7033,3.7496,3.8032,3.8614,3.925,3.9921,4.0624,4.1341,4.2054,4.2735,4.3376,4.3967,4.4463,4.4917,4.5308,4.5637,4.5946,4.6223,4.6438,4.6679,4.6882,4.7054,4.7217,4.7363,4.7464,4.7506,4.744,4.7194,4.6737,4.7055,4.7084,,,,,,,,
impedance,3.9839,3.995,4.0085,4.0248,4.0448,4.0619,4.0818,4.1048,4.132,4.1625,4.1936,4.2268,4.266,4.3092,4.3566,4.4073,4.4618,4.521,4.5833,4.6488,4.7179,4.7885,4.8611,4.935,5.0091,5.0843,5.1578,5.2295,5.2981,5.3643,5.4221,5.4799,5.5312,5.5648,5.6023,5.6341,5.6603,5.6815,5.6982,5.71,5.7157,5.7149,5.713,5.7064,5.7,5.7021,5.725,5.7669,5.7959,5.7209
impedance,3.3318,3.3381,3.3475,3.3566,3.3662,3.3803,3.3946,3.4128,3.4312,3.4548,3.4794,3.5082,3.5407,3.5756,3.6148,3.6564,3.702,3.7489,3.7972,3.8488,3.9006,3.9539,4.0068,4.0594,4.1111,4.1621,4.2086,4.2502,4.2911,4.3257,4.357,4.383,4.4064,4.4242,4.441,4.4546,4.4664,4.4755,4.4807,4.4862,4.4853,4.4833,4.4757,4.4647,4.4461,4.4267,4.4192,4.4352,,
impedance,3.9716,3.983,3.9963,4.0091,4.0271,4.0437,4.0623,4.085,4.1098,4.1359,4.1669,4.1993,4.2361,4.2765,4.3206,4.3707,4.4227,4.4803,4.5398,4.6028,4.669,4.7373,4.8072,4.8782,4.9503,5.0209,5.0903,5.1586,5.2251,5.2869,5.3436,5.3916,5.4366,5.4666,5.4978,5.5258,5.5502,5.5708,5.5872,5.6002,5.6102,5.6197,5.6255,5.6304,5.64,5.6606,5.7069,5.7484,5.6895,5.6992
