,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
R/Ohm,0.25836,0.17726,0.11022,0.052476999999999996,0.0057564999999999995,-0.03348,-0.074438,-0.10615,-0.1371,-0.16747,-0.19455999999999998,-0.22269,-0.24861,-0.27459,-0.29968,-0.32433,-0.34717,-0.36701999999999996,-0.38583,-0.40157,-0.41489,-0.42622,-0.43168999999999996,-0.4351,-0.43482,-0.42958999999999997,-0.41915,-0.4054,-0.38803000000000004,-0.36768,-0.34295,-0.3155,-0.28963,-0.26163000000000003,-0.23056999999999997,-0.20079,-0.1726,-0.14677,-0.12580999999999998,-0.10165,-0.082637,-0.06313300000000001,-0.050256999999999996,-0.038847,-0.02648,-0.020028999999999998,-0.015613,-0.011556,-0.004483699999999999,-0.0019123
R/Ohm,0.26768000000000003,0.17128,0.09914099999999999,0.038749,-0.0076138,-0.055251999999999996,-0.091253,-0.12453,-0.15723,-0.18974000000000002,-0.21694000000000002,-0.248,-0.27576999999999996,-0.30086999999999997,-0.32352,-0.34198,-0.35627,-0.36555,-0.36799,-0.36113,-0.34999,-0.33192,-0.30785,-0.28229,-0.25332,-0.22525,-0.2011,-0.17207999999999998,-0.14627,-0.12412000000000001,-0.10142999999999999,-0.084219,-0.065337,-0.048107,-0.038367,-0.027575,-0.021174000000000002,-0.014886000000000002,-0.010898999999999999,-0.0066758,0.00036377,-0.0023881,,,,,,,,
R/Ohm,0.25545999999999996,0.16781,0.09877000000000001,0.040345,-0.0082788,-0.050795,-0.09592200000000001,-0.1299,-0.16213,-0.19457,-0.22476999999999997,-0.25511,-0.28288,-0.31046,-0.33831,-0.36587,-0.3899,-0.41212,-0.43359,-0.45106,-0.4674,-0.47996000000000005,-0.48945,-0.49491999999999997,-0.49841,-0.49758,-0.4937,-0.48423,-0.47253,-0.45407,-0.43331000000000003,-0.40992,-0.37951999999999997,-0.35093,-0.31516,-0.27638,-0.24236,-0.20561,-0.173,-0.13871,-0.11188,-0.08456699999999999,-0.06478300000000001,-0.051347000000000004,-0.038031,-0.026597000000000003,-0.017557,-0.0090432,-0.0037858000000000006,-0.008855799999999999
R/Ohm,0.24719000000000002,0.17273,0.10480999999999999,0.050185,0.0029588,-0.036764,-0.076401,-0.10622000000000001,-0.13793,-0.16789,-0.1934,-0.2214,-0.24734,-0.27425,-0.29854,-0.32256999999999997,-0.34428000000000003,-0.36599,-0.3834,-0.39981,-0.41266,-0.4238,-0.43032,-0.43332,-0.43341,-0.42845,-0.4182,-0.40676999999999996,-0.38633,-0.36549,-0.33926999999999996,-0.31376,-0.28776999999999997,-0.25814000000000004,-0.22828,-0.19905,-0.17267000000000002,-0.14744000000000002,-0.12258,-0.10209,-0.082462,-0.063566,-0.050377,-0.036981,-0.028539,-0.018895,-0.014228999999999999,-0.01251,-0.0022884,-0.00037551
R/Ohm,0.52696,0.39826,0.28865,0.2009,0.13113,0.06837599999999999,0.007952899999999999,-0.034464,-0.072528,-0.1084,-0.14306,-0.17344,-0.20076,-0.22953,-0.25575,-0.28137,-0.30391999999999997,-0.32433,-0.34238,-0.35681999999999997,-0.36794,-0.37689,-0.37949,-0.37768,-0.3721,-0.3605,-0.34606,-0.32939,-0.30719,-0.28364,-0.26045,-0.23745,-0.21719000000000002,-0.19422,-0.17069,-0.15075999999999998,-0.1295,-0.11009000000000001,-0.095093,-0.078649,-0.063463,-0.048317,-0.04018,-0.030355,-0.021782,-0.016273,-0.011348,-0.0082724,-0.0022346,
R/Ohm,0.19921,0.08928,0.0061622,-0.054424,-0.10339000000000001,-0.14920999999999998,-0.19309,-0.23546999999999998,-0.27696,-0.31013,-0.33536,-0.35131999999999997,-0.3479,-0.3302,-0.29691,-0.2694,-0.21996,-0.1824,-0.14365,-0.11300999999999999,-0.087889,-0.06350700000000001,-0.043449,-0.030706999999999998,-0.022691,-0.014588999999999998,-0.010511,-0.004959399999999999,-0.0017182000000000002,0.00047562,,,,,,,,,,,,,,,,,,,,
R/Ohm,0.29133000000000003,0.21054,0.14399,0.085675,0.03924,-0.00060745,-0.041247000000000006,-0.07215099999999999,-0.10192000000000001,-0.12804000000000001,-0.15494000000000002,-0.18075,-0.20335999999999999,-0.2282,-0.251,-0.27494,-0.29501,-0.31343000000000004,-0.33085,-0.34381999999999996,-0.35391,-0.3622,-0.36353,-0.36139,-0.35438000000000003,-0.34319,-0.32823,-0.30889,-0.29001,-0.26681,-0.24401,-0.22153,-0.20075,-0.18161,-0.15993,-0.13910999999999998,-0.12050999999999999,-0.10252,-0.088736,-0.07187400000000001,-0.057647000000000004,-0.044024,-0.034817,-0.026672,-0.020057,-0.015028999999999999,-0.011090000000000001,-0.0067288,-0.00199,-0.0049636
R/Ohm,0.23656999999999997,0.16455999999999998,0.10377,0.05388099999999999,0.011179999999999999,-0.027442,-0.062545,-0.094459,-0.12519,-0.15309,-0.1832,-0.21297,-0.24122,-0.26798,-0.29711,-0.32368,-0.34904,-0.37132,-0.39264,-0.4114,-0.42688999999999994,-0.441,-0.44925,-0.45583999999999997,-0.45771000000000006,-0.45548999999999995,-0.44964,-0.43678999999999996,-0.42018,-0.39581,-0.37003,-0.33976,-0.30582,-0.27445,-0.24111,-0.20305,-0.17195,-0.14239000000000002,-0.11846,-0.08977,-0.066794,-0.049399,-0.037963,-0.030338999999999998,-0.019905000000000003,-0.011387000000000001,-0.0076202,-0.0040982,-0.004444699999999999,0.0013629000000000002
R/Ohm,0.19403,0.11914000000000001,0.061502999999999995,0.010006000000000001,-0.033589999999999995,-0.07120900000000001,-0.10733,-0.13907,-0.16944,-0.19839,-0.22694,-0.25666,-0.28355,-0.31055,-0.33739,-0.36303,-0.38654,-0.40835,-0.42886,-0.44651,-0.46166,-0.47402,-0.48449,-0.48911000000000004,-0.49282,-0.49087,-0.48772,-0.47608,-0.46638999999999997,-0.44856,-0.43075,-0.40379,-0.37768,-0.34671,-0.31239,-0.27765,-0.2402,-0.20645,-0.17329,-0.14038,-0.11115,-0.08819500000000001,-0.06687699999999999,-0.051723000000000005,-0.038772,-0.02476,-0.01838,-0.011732,-0.0061659,0.0021497
R/Ohm,0.16757,0.11438,0.062482,0.024025,-0.010053,-0.041092000000000004,-0.074687,-0.10052,-0.12679,-0.15064,-0.17590999999999998,-0.19879000000000002,-0.22069,-0.24126,-0.26133,-0.27931999999999996,-0.29548,-0.30801,-0.31697,-0.32475,-0.32826,-0.32955999999999996,-0.32609,-0.31905,-0.30853,-0.29419,-0.2761,-0.25734,-0.23696,-0.21468,-0.19563,-0.17257999999999998,-0.15463,-0.13429000000000002,-0.11675,-0.099476,-0.084313,-0.069359,-0.05909400000000001,-0.045579,-0.035595999999999996,-0.027708999999999998,-0.021804,-0.017013999999999998,-0.010988,-0.0081534,,,,
