,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
R/Ohm,0.25313,0.12645,0.02935,-0.063346,-0.15365,-0.20981999999999998,-0.2895,-0.33116999999999996,-0.40769,-0.47193999999999997,-0.52423,-0.56579,-0.6131300000000001,-0.65649,-0.69205,-0.72705,-0.76142,-0.79575,-0.82191,-0.85345,-0.88249,-0.9205200000000001,-0.94255,-0.9780399999999999,-1.0129,-1.0461,-1.0838,-1.1284,-1.1702,-1.2103,-1.2501,-1.2959,-1.3396,-1.3831,-1.4248,-1.4662,-1.488,-1.5162,-1.5299,-1.517,-1.4767,-1.4043,-1.2909,-1.1195,-0.9150799999999999,-0.70398,-0.50436,-0.34055,-0.21663000000000002,-0.14037,-0.08884500000000001,-0.0448,-0.030693
R/Ohm,0.43456000000000006,0.27657,0.14685,0.024926,-0.071344,-0.16139,-0.23711999999999997,-0.31071,-0.37428,-0.43711000000000005,-0.49248000000000003,-0.54576,-0.59295,-0.63646,-0.67756,-0.7139800000000001,-0.74808,-0.78071,-0.8124100000000001,-0.8428100000000001,-0.8735,-0.9043899999999999,-0.93622,-0.9678399999999999,-1.0028,-1.0368,-1.0726,-1.1109,-1.1496,-1.1895,-1.2314,-1.2729,-1.3168,-1.3614,-1.4035,-1.4452,-1.4824,-1.5088,-1.5289,-1.5301,-1.4995,-1.4398,-1.3379,-1.1788,-0.98593,-0.7675,-0.5623,-0.38645999999999997,-0.25064000000000003,-0.15642999999999999,-0.090696,-0.052765,-0.033085
R/Ohm,0.27137,0.14088,0.052739,-0.063291,-0.14109000000000002,-0.22628,-0.28814,-0.35,-0.41263,-0.4738,-0.52977,-0.58101,-0.62534,-0.6712199999999999,-0.7118399999999999,-0.74639,-0.7901,-0.82214,-0.8562299999999999,-0.89105,-0.92591,-0.9641299999999999,-0.9949399999999999,-1.0249,-1.0615,-1.0993,-1.1419,-1.1848,-1.2257,-1.2746,-1.327,-1.3772,-1.4302,-1.4904,-1.5497,-1.6131,-1.6705,-1.7343,-1.7996,-1.8591,-1.9062,-1.9409,-1.925,-1.8449,-1.6676,-1.4143,-1.0987,-0.77412,-0.51117,-0.32359,-0.20375,-0.11555,-0.07658
R/Ohm,0.28315999999999997,0.14362,0.048048,-0.055558,-0.13673,-0.21886999999999998,-0.29311,-0.34691,-0.41925,-0.49136,-0.53878,-0.58577,-0.63827,-0.68267,-0.72737,-0.76336,-0.7971199999999999,-0.83081,-0.8593799999999999,-0.8901899999999999,-0.91961,-0.95005,-0.9820700000000001,-1.0155,-1.0509,-1.0872,-1.1251,-1.1671,-1.2094,-1.2543,-1.3013,-1.3491,-1.3995,-1.4537,-1.5041,-1.5604,-1.609,-1.6586,-1.7073,-1.7392,-1.7566,-1.7482,-1.6916,-1.5789,-1.3941,-1.1448,-0.87375,-0.61282,-0.40836999999999996,-0.27005,-0.16430999999999998,-0.083772,-0.05842000000000001
R/Ohm,0.37756999999999996,0.2328,0.10707,-0.0069854,-0.11126,-0.1781,-0.2603,-0.34579,-0.40341,-0.46423000000000003,-0.52353,-0.57362,-0.62766,-0.67401,-0.7126399999999999,-0.75098,-0.7887,-0.8238,-0.8608399999999999,-0.8945,-0.92551,-0.96698,-0.9932700000000001,-1.0348,-1.0646,-1.1046,-1.1515,-1.1944,-1.2418,-1.2826,-1.3347,-1.3891,-1.4391,-1.498,-1.5591,-1.6182,-1.6991,-1.7654,-1.8153,-1.8716,-1.9083,-1.9211,-1.8792,-1.7598,-1.555,-1.286,-0.97149,-0.66395,-0.42712,-0.25754,-0.1607,-0.10157999999999999,-0.05410499999999999
R/Ohm,0.44673999999999997,0.28439000000000003,0.15428,0.032207,-0.06944299999999999,-0.15778,-0.23756999999999998,-0.31006,-0.37653000000000003,-0.43911999999999995,-0.4955,-0.54795,-0.59701,-0.64161,-0.6844100000000001,-0.72205,-0.75752,-0.7913399999999999,-0.8232200000000001,-0.8546100000000001,-0.88674,-0.91812,-0.95168,-0.98577,-1.0212,-1.0577,-1.0956,-1.1373,-1.178,-1.2236,-1.2701,-1.317,-1.3659,-1.4159,-1.4687,-1.5248,-1.5809,-1.6315,-1.6847,-1.7299,-1.7576,-1.7603,-1.7282,-1.6308,-1.4641,-1.2429,-0.97964,-0.6901,-0.46116,-0.27534000000000003,-0.16545,-0.10155,-0.039387
R/Ohm,0.27644,0.14299,0.045951,-0.057783,-0.14703,-0.21993000000000001,-0.29275999999999996,-0.36691,-0.42067,-0.48072,-0.54214,-0.5928,-0.63985,-0.69113,-0.74056,-0.77891,-0.8129,-0.8486799999999999,-0.8814200000000001,-0.9149200000000001,-0.9456899999999999,-0.9822,-1.0135,-1.0538,-1.0818,-1.1208,-1.1642,-1.2053,-1.2554,-1.3004,-1.3568,-1.4064,-1.4646,-1.5253,-1.5899,-1.6608,-1.7351,-1.8051,-1.8867,-1.9672,-2.0406,-2.1038,-2.1298,-2.0914,-1.9625,-1.7172,-1.3725,-1.0013,-0.67879,-0.44118,-0.28017,-0.15179,-0.10128
R/Ohm,0.3052,0.18445,0.073559,-0.020396,-0.10128999999999999,-0.1748,-0.24014000000000002,-0.29733000000000004,-0.35494000000000003,-0.4082,-0.45623,-0.50484,-0.5415,-0.5743699999999999,-0.60577,-0.6328199999999999,-0.66046,-0.68445,-0.71202,-0.73578,-0.76051,-0.78685,-0.81262,-0.8393,-0.8682,-0.89705,-0.92515,-0.9546,-0.9835799999999999,-1.0118,-1.0392,-1.0636,-1.0844,-1.1005,-1.1109,-1.1143,-1.1025,-1.0749,-1.0313,-0.9651299999999999,-0.8769899999999999,-0.7752,-0.65433,-0.52488,-0.40093,-0.29304,-0.2053,-0.1367,-0.088091,-0.05711,-0.031695999999999995,-0.018345,-0.014999
R/Ohm,0.33046,0.19666,0.090177,-0.0054663,-0.089469,-0.16487000000000002,-0.23233,-0.29463,-0.34588,-0.40015,-0.44778999999999997,-0.48886999999999997,-0.52784,-0.56133,-0.59421,-0.62071,-0.64785,-0.67209,-0.69625,-0.71987,-0.74328,-0.76789,-0.79169,-0.81645,-0.84298,-0.86764,-0.89443,-0.9194399999999999,-0.94389,-0.9691700000000001,-0.9924200000000001,-1.0121,-1.0289,-1.0385,-1.0395,-1.0334,-1.0129,-0.9696899999999999,-0.91002,-0.8276600000000001,-0.72801,-0.6217199999999999,-0.50651,-0.39331,-0.2928,-0.21013,-0.14574,-0.09439700000000001,-0.061141999999999995,-0.039124,-0.022187000000000002,-0.014119,-0.013765000000000001
R/Ohm,0.33759,0.19847,0.08792,-0.022539,-0.11163,-0.19165,-0.2634,-0.332,-0.39354,-0.4555,-0.5099600000000001,-0.5604399999999999,-0.60707,-0.65167,-0.6944,-0.73192,-0.76718,-0.80075,-0.8333,-0.86595,-0.89765,-0.9295899999999999,-0.9634799999999999,-0.99713,-1.0332,-1.0708,-1.1101,-1.1522,-1.1969,-1.2423,-1.2904,-1.3421,-1.3964,-1.4527,-1.5107,-1.5733,-1.6404,-1.7044,-1.7732,-1.8362,-1.8875,-1.9186,-1.9024,-1.8245,-1.6657,-1.4247,-1.1214,-0.8087300000000001,-0.53777,-0.33007,-0.18975,-0.11778,-0.065938
