,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
impedance,5.0315,5.0532,5.0786,5.1096,5.1461,5.1889,5.2394,5.296,5.3628,5.4441,5.5227,5.6111,5.7065,5.806,5.909,6.0174,6.1307,6.2524,6.3702,6.4906,6.6206,6.751,6.8858,7.0212,7.157,7.2999,7.4498,7.6057,7.7644,7.9348,8.1094,8.2889,8.4825,8.6917,8.9005,9.1198,9.3717,9.6304,9.9149,10.227,10.544,10.880999999999998,11.23,11.54,11.842,12.045,12.216,12.375,12.442,12.455,12.338,12.218,12.527999999999999
impedance,5.235,5.2378,5.2762,5.3041,5.3469,5.4054,5.4558,5.5112,5.5727,5.6435,5.7239,5.8063,5.9048,6.0118,6.1251,6.2404,6.359,6.486,6.619,6.7718,6.9054,7.0495,7.184,7.3218,7.4736,7.628,7.783,7.9401,8.1142,8.2871,8.467,8.6634,8.853,9.0598,9.2745,9.4912,9.7243,9.9837,10.258,10.58,10.943,11.364,11.808,12.283,12.722999999999999,13.158,13.462,13.642999999999999,13.755,13.837,14.097999999999999,14.117,13.898
impedance,5.3178,5.3505,5.3817,5.4136,5.4573,5.4979,5.5509,5.621,5.6732,5.7467,5.8324,5.9261,6.0149,6.1167,6.2232,6.3386,6.4492,6.5652,6.6843,6.8026,6.9257,7.0542,7.1851,7.3223,7.4624,7.6065,7.7543,7.9116,8.0767,8.2505,8.427,8.6112,8.8051,9.0104,9.2264,9.4473,9.6818,9.9401,10.235,10.539000000000001,10.89,11.27,11.664000000000001,12.095,12.508,12.839,13.118,13.312000000000001,13.502,13.776,13.944,13.425999999999998,13.62
impedance,5.2959,5.3028,5.3301,5.3709,5.4028,5.4545,5.5174,5.561,5.6433,5.71,5.7932,5.8833,5.9721,6.0739,6.1843,6.3027,6.4256,6.553,6.6979,6.8345,6.9677,7.0985,7.2502,7.3946,7.5638,7.7279,7.8916,8.0594,8.2295,8.4075,8.6015,8.7977,9.0097,9.221,9.4355,9.6662,9.8909,10.236,10.55,10.913,11.302,11.717,12.165999999999999,12.616,13.017999999999999,13.384,13.595,13.652000000000001,13.67,13.55,13.659,14.097000000000001,13.715
impedance,5.0895,5.1143,5.1408,5.1775,5.2164,5.2562,5.3061,5.3634,5.428,5.4992,5.5764,5.6641,5.7571,5.8533,5.954,6.0632,6.1779,6.2957,6.4158,6.5402,6.6719,6.809,6.9473,7.0915,7.2418,7.3925,7.5461,7.7075,7.8782,8.0586,8.2427,8.4242,8.6106,8.8084,9.0229,9.2471,9.5043,9.7649,10.055,10.385,10.742,11.113,11.55,11.99,12.449000000000002,12.939,13.366,13.565,13.738,13.614,13.559000000000001,13.612,13.8
impedance,5.36,5.4008,5.4373,5.4765,5.5039,5.5568,5.613,5.6788,5.7454,5.8188,5.8965,5.9926,6.0893,6.194,6.3015,6.4128,6.5386,6.6613,6.7853,6.9133,7.0424,7.1836,7.3154,7.4566,7.6079,7.7645,7.9176,8.0835,8.253,8.4265,8.6099,8.7946,8.9943,9.2006,9.4167,9.6399,9.856,10.121,10.421,10.747,11.118,11.532,12.007,12.540999999999999,13.102,13.622,14.029000000000002,14.354000000000001,14.582,14.77,15.087,14.97,14.784
impedance,4.5214,4.5341,4.5615,4.5935,4.6241,4.6671,4.7164,4.7728,4.8312,4.9039,4.9728,5.0446,5.1242,5.2102,5.3006,5.3959,5.4946,5.5944,5.6969,5.8007,5.908,6.0183,6.1289,6.2455,6.3673,6.4904,6.6198,6.7558,6.8952,7.0402,7.1912,7.3433,7.5029,7.6716,7.8484,8.0312,8.206,8.4014,8.6001,8.7941,8.9875,9.1677,9.3239,9.4515,9.5419,9.5928,9.6551,9.7234,9.7851,9.8837,9.8371,9.641,9.8662
impedance,4.4666,4.4768,4.502,4.5334,4.5699,4.6085,4.6572,4.7083,4.7693,4.8352,4.9105,4.9832,5.0614,5.1426,5.2292,5.315,5.4052,5.4962,5.5913,5.6892,5.7891,5.8923,5.9991,6.1116,6.2283,6.3489,6.4765,6.6075,6.7465,6.8929,7.0482,7.2095,7.3781,7.5531,7.7349,7.9224,8.1226,8.3013,8.4821,8.6508,8.8131,8.9562,9.0676,9.1581,9.2286,9.2689,9.3112,9.3375,9.4025,9.4731,9.4257,9.0855,9.381
impedance,5.1278,5.1585,5.184,5.2187,5.255,5.2959,5.3452,5.4036,5.4689,5.5451,5.6274,5.7079,5.794,5.8922,5.9987,6.1114,6.2258,6.3433,6.4682,6.5963,6.7277,6.8614,7.0007,7.1413,7.2866,7.4385,7.5967,7.7612,7.934,8.1111,8.2913,8.4789,8.6735,8.876,9.0898,9.3165,9.5792,9.8542,10.162,10.504000000000001,10.899000000000001,11.319,11.777999999999999,12.284,12.804,13.295,13.704,13.999,14.139000000000001,14.135,13.865,13.854000000000001,14.065999999999999
impedance,4.497,4.5189,4.5384,4.5652,4.5952,4.6406,4.6893,4.7319,4.801,4.8652,4.9406,5.0181,5.1018,5.1888,5.2793,5.3764,5.4734,5.5701,5.6679,5.7677,5.8713,5.9773,6.0882,6.2011,6.3185,6.4417,6.5703,6.7067,6.8458,6.9906,7.1438,7.3008,7.4625,7.6301,7.7997,7.9721,8.1455,8.326,8.507,8.6833,8.8446,8.9816,9.1037,9.1986,9.2724,9.3182,9.3684,9.4154,9.4968,9.5937,9.5537,9.337,9.5699
impedance,4.4804,4.5046,4.5286,4.5533,4.5903,4.627,4.6729,4.7256,4.7871,4.8526,4.925,5.0062,5.0872,5.1712,5.2604,5.3561,5.4541,5.5572,5.6642,5.7708,5.8802,5.9945,6.1096,6.2239,6.346,6.4728,6.5996,6.7417,6.884,7.0305,7.1814,7.3378,7.4994,7.6707,7.8482,8.0251,8.2184,8.4106,8.6112,8.7899,8.9747,9.1229,9.2517,9.3224,9.3902,9.4607,9.4669,9.472,9.4995,9.3891,9.2197,9.4137,9.4747
impedance,4.4868,4.5122,4.5453,4.5782,4.6138,4.6561,4.7072,4.7598,4.8208,4.8879,4.9629,5.0425,5.1258,5.2158,5.3057,5.4012,5.4981,5.5978,5.7007,5.8055,5.9154,6.028,6.1452,6.2639,6.3874,6.5172,6.6494,6.7969,6.9403,7.0907,7.2464,7.4089,7.5779,7.7563,7.9363,8.1244,8.3223,8.5262,8.7299,8.9357,9.1374,9.3285,9.4982,9.645,9.772,9.8657,9.9325,10.021,10.061,10.033999999999999,9.8708,9.7816,10.036
impedance,5.242,5.2743,5.3039,5.3421,5.3845,5.4333,5.4884,5.5459,5.6136,5.6888,5.7711,5.8606,5.9552,6.06,6.1674,6.2797,6.3945,6.509,6.6296,6.7519,6.8823,7.0161,7.1554,7.2988,7.4482,7.6018,7.7608,7.9246,8.0949,8.2698,8.4548,8.6481,8.847,9.0523,9.2735,9.5043,9.7603,10.033,10.343,10.69,11.081,11.522,12.030999999999999,12.605,13.204,13.815999999999999,14.395999999999999,14.818,14.948,14.776,14.532,14.773,14.832
impedance,4.5703,4.5877,4.6146,4.648,4.6902,4.7266,4.7751,4.8276,4.898,4.9597,5.0329,5.1252,5.2073,5.2947,5.3923,5.4895,5.592,5.6985,5.8078,5.9142,6.0263,6.1371,6.2576,6.3767,6.5049,6.6336,6.7659,6.9078,7.0501,7.1962,7.3465,7.5064,7.6697,7.8379,8.008,8.18,8.3407,8.5089,8.6736,8.8254,8.9609,9.0688,9.1659,9.2256,9.27,9.282,9.2851,9.2798,9.2686,9.3299,9.5606,9.3946,9.4024
impedance,5.3541,5.3667,5.3961,5.4344,5.4695,5.5121,5.5682,5.6241,5.6904,5.7603,5.8447,5.9215,6.0209,6.1231,6.2248,6.334,6.4553,6.5759,6.706,6.8356,6.9708,7.105,7.2491,7.3999,7.5469,7.7034,7.8651,8.0343,8.2056,8.3813,8.5646,8.7604,8.9609,9.1687,9.3898,9.6166,9.8497,10.121,10.423,10.762,11.151,11.597999999999999,12.109000000000002,12.690999999999999,13.327,13.972000000000001,14.56,15.015999999999998,15.344000000000001,15.636,15.950999999999999,15.719000000000001,15.716
impedance,4.7873,4.8008,4.8301,4.8554,4.8899,4.9281,4.9714,5.0165,5.0722,5.1273,5.1944,5.2676,5.343,5.4256,5.5075,5.6022,5.6957,5.7969,5.8997,6.0052,6.1132,6.2227,6.339,6.4602,6.5849,6.713,6.8429,6.9783,7.1178,7.2625,7.4139,7.5723,7.734,7.9028,8.0775,8.2594,8.4186,8.6049,8.7959,8.9793,9.1634,9.3223,9.4555,9.5514,9.6204,9.675,9.7144,9.7581,9.8332,9.9924,10.168,9.7264,9.9508
impedance,5.3498,5.377,5.4077,5.4328,5.4757,5.5201,5.5787,5.6331,5.6947,5.7711,5.85,5.9435,6.0359,6.1374,6.2508,6.3794,6.495,6.6283,6.773,6.9051,7.0444,7.1908,7.3348,7.4914,7.6376,7.7949,7.9577,8.1218,8.2968,8.4776,8.6644,8.8522,9.0546,9.2622,9.4852,9.7116,9.9486,10.226,10.527999999999999,10.85,11.199000000000002,11.609000000000002,12.088,12.609000000000002,13.147,13.655999999999999,14.06,14.344000000000001,14.543,14.717,15.08,14.919,14.784
impedance,4.6566,4.6742,4.7021,4.7352,4.7682,4.8067,4.853,4.9005,4.9577,5.0254,5.0926,5.1665,5.242,5.3306,5.427,5.5349,5.6412,5.7516,5.8641,5.9739,6.0839,6.1999,6.3198,6.442,6.5676,6.6965,6.8291,6.9644,7.1029,7.2489,7.4033,7.5636,7.7282,7.8953,8.0618,8.2299,8.3854,8.5455,8.6993,8.8427,8.9687,9.071,9.1498,9.1994,9.2482,9.3148,9.3693,9.467,9.5868,9.7366,9.6083,9.2849,9.6363
