,Unnamed: 0,Unnamed: 0.1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,0.1,1.1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,9.1,10.1,11.1,12.1,13.1,14.1,15.1,16.1,17.1,18.1,19.1,20.1,21.1,22.1,23.1,24.1,25.1,26.1,27.1,28.1,29.1,30.1,31.1,32.1,33.1,34.1,35.1,36.1,37.1,38.1,39.1,40.1,41.1,42.1,43.1
9,9,R/Ohm,0.068827,-0.011016,-0.083467,-0.146,-0.20216,-0.25106,-0.29985,-0.33985,-0.3783,-0.41422,-0.44895,-0.48474,-0.51907,-0.55328,-0.58858,-0.62431,-0.66116,-0.69849,-0.73588,-0.7738,-0.81049,-0.84686,-0.87913,-0.9069,-0.9291,-0.94161,-0.94348,-0.93337,-0.91008,-0.8738,-0.82642,-0.76684,-0.70381,-0.63244,-0.55568,-0.48162,-0.40986,-0.33913,-0.27934,-0.22364,-0.17409,-0.13255,-0.099048,-0.072765,4.7134,4.7374,4.7685,4.8049,4.8452,4.8907,4.9449,4.9977,5.0544,5.1116,5.1758,5.2436,5.3209,5.3961,5.4775,5.5648,5.6564,5.7542,5.8595,5.9706,6.0892,6.2156,6.3501,6.4923,6.6414,6.7965,6.9559,7.117,7.2776,7.4318,7.578,7.71,7.8276,7.9318,8.0276,8.109,8.1787,8.2384,8.2878,8.3301,8.3668,8.4045,8.4392,8.4775
10,10,R/Ohm,0.59141,0.41381,0.26308,0.13628,0.041409,-0.052049,-0.14548,-0.21168,-0.29751,-0.33662,-0.38234,-0.39679,-0.47019,-0.50434,-0.53917,-0.58196,-0.63074,-0.64221,-0.70621,-0.73905,-0.78698,-0.83187,-0.87334,-0.92898,-0.99766,-1.0303,-1.0966,-1.1674,-1.2334,-1.3126,-1.3807,-1.4615,-1.5107,-1.5634,-1.6023,-1.6318,-1.6353,-1.6122,-1.5583,-1.4709,-1.3405,-1.1818,-0.99442,-0.79886,4.9866,4.997,5.0237,5.0537,5.0338,5.0646,5.1532,5.1646,5.2889,5.3392,5.3971,5.4483,5.5512,5.6007,5.6811,5.7731,5.8556,5.9498,6.0538,6.1541,6.2732,6.3616,6.4923,6.5985,6.7603,6.9131,7.0633,7.2186,7.384,7.5838,7.7842,8.0004,8.2428,8.4876,8.7539,9.0274,9.34,9.6092,9.9301,10.236,10.532,10.797,11.017,11.18
11,11,R/Ohm,0.27163,0.12766,-0.0091429,-0.078164,-0.15622,-0.25131,-0.28921,-0.31282,-0.37885,-0.43205,-0.47307,-0.53518,-0.55838,-0.55242,-0.62658,-0.65623,-0.69464,-0.74023,-0.81501,-0.8401,-0.884,-0.93389,-0.95388,-1.022,-1.0625,-1.1218,-1.1564,-1.1893,-1.2128,-1.2302,-1.2269,-1.21,-1.1771,-1.1227,-1.047,-0.96538,-0.86092,-0.74239,-0.62198,-0.50343,-0.39475,-0.2967,-0.21944,-0.15569,4.9783,4.9766,5.0205,5.0982,5.1552,5.2068,5.2498,5.3225,5.4037,5.4485,5.5316,5.6085,5.6929,5.787,5.8639,5.9614,6.0519,6.1611,6.2745,6.3885,6.5264,6.6443,6.7936,6.9362,7.1007,7.2778,7.4524,7.6363,7.8339,8.0454,8.2581,8.4688,8.6716,8.9026,9.0829,9.2666,9.439,9.5852,9.7059,9.794,9.8527,9.8852,9.8895,9.8713
12,12,R/Ohm,0.23258,0.091488,-0.0081529,-0.092716,-0.1695,-0.23292,-0.29802,-0.34462,-0.3942,-0.43983,-0.47723,-0.51822,-0.5551,-0.59146,-0.63074,-0.66868,-0.707,-0.74643,-0.79005,-0.83284,-0.88005,-0.92872,-0.97908,-1.0302,-1.0817,-1.1326,-1.1811,-1.2254,-1.2627,-1.2901,-1.3082,-1.3063,-1.2925,-1.2655,-1.2034,-1.1268,-1.0287,-0.90657,-0.77891,-0.64025,-0.5053,-0.38703,-0.28817,-0.20607,4.9792,5.0016,5.0448,5.0785,5.1239,5.1785,5.2317,5.2935,5.3603,5.4315,5.504,5.5784,5.6604,5.7468,5.8355,5.929,6.0257,6.131,6.2384,6.3539,6.4771,6.6049,6.7436,6.8996,7.0568,7.224,7.4023,7.5939,7.7951,8.0068,8.225,8.4497,8.6758,8.9171,9.1505,9.3793,9.6006,9.804,9.9807,10.13,10.248,10.343,10.417,10.474
13,13,R/Ohm,0.25192,0.10593,0.0033636,-0.076463,-0.15018,-0.23263,-0.29181,-0.35049,-0.38845,-0.46314,-0.47983,-0.53384,-0.57263,-0.59799,-0.65012,-0.68002,-0.72564,-0.77157,-0.81184,-0.85566,-0.90447,-0.95894,-1.0092,-1.074,-1.1271,-1.1832,-1.2474,-1.3149,-1.3463,-1.4009,-1.4281,-1.4446,-1.45,-1.4341,-1.3775,-1.3098,-1.21,-1.0809,-0.93406,-0.77373,-0.61362,-0.46472,-0.34315,-0.2436,5.0588,5.0822,5.1234,5.169,5.2199,5.2631,5.3218,5.386,5.4546,5.534,5.582,5.6719,5.738,5.8452,5.9297,6.0251,6.1383,6.233,6.3195,6.4632,6.5679,6.7232,6.8492,7.0067,7.177,7.331,7.5232,7.7104,7.9298,8.1457,8.3785,8.6179,8.8642,9.0924,9.358,9.616,9.8577,10.081,10.271,10.422,10.526,10.591,10.615,10.625
14,14,R/Ohm,0.64966,0.46207,0.30404,0.14715,0.039082,-0.052539,-0.12807,-0.20204,-0.28279,-0.36006,-0.38465,-0.42421,-0.46076,-0.50254,-0.52429,-0.5679,-0.624,-0.65654,-0.70478,-0.74237,-0.77982,-0.80612,-0.87971,-0.93623,-0.97522,-1.0246,-1.089,-1.1634,-1.2268,-1.2879,-1.3532,-1.422,-1.4721,-1.5111,-1.5526,-1.5773,-1.5644,-1.553,-1.4997,-1.4158,-1.2923,-1.1413,-0.96129,-0.77016,4.9774,4.9967,5.0316,5.0754,5.0957,5.1274,5.1586,5.2253,5.3004,5.3279,5.3944,5.454,5.5159,5.5945,5.7109,5.7847,5.8698,5.9582,6.0613,6.1557,6.2665,6.3825,6.4937,6.6381,6.7408,6.8871,7.0419,7.2012,7.3689,7.556,7.7482,7.9664,8.1903,8.4303,8.679,8.938,9.1904,9.4799,9.7674,10.054,10.33,10.575,10.783,10.938
15,15,R/Ohm,0.27214,0.14085,0.034107,-0.058131,-0.14343,-0.20088,-0.2729,-0.33088,-0.38699,-0.42697,-0.47607,-0.52456,-0.55345,-0.59847,-0.62845,-0.67188,-0.69816,-0.74526,-0.77552,-0.82777,-0.85473,-0.92387,-0.95688,-1.02,-1.0696,-1.1034,-1.1444,-1.1868,-1.1989,-1.2071,-1.205,-1.1809,-1.1424,-1.0717,-1.0088,-0.92193,-0.81617,-0.69894,-0.5851,-0.47382,-0.37168,-0.28029,-0.20851,-0.14897,4.9982,5.0285,5.0646,5.1079,5.1539,5.2122,5.2632,5.3288,5.3902,5.4617,5.5352,5.6119,5.7101,5.7906,5.8762,5.9798,6.0818,6.1786,6.2729,6.4014,6.532,6.6696,6.7983,6.958,7.1078,7.285,7.4631,7.6629,7.8617,8.0583,8.2707,8.4809,8.6823,8.8775,9.0986,9.2767,9.4438,9.589,9.7071,9.802,9.8698,9.9193,9.9421,9.9393
16,16,R/Ohm,0.025196,-0.039079,-0.1082,-0.15983,-0.21231,-0.26881,-0.32519,-0.36307,-0.39517,-0.43202,-0.48116,-0.49966,-0.53596,-0.56407,-0.60748,-0.6426,-0.6863,-0.71617,-0.77435,-0.79598,-0.82969,-0.88119,-0.91899,-0.94376,-0.96445,-0.98914,-0.98753,-0.99042,-0.95528,-0.92651,-0.88045,-0.82039,-0.7503,-0.67586,-0.59214,-0.5089,-0.42594,-0.35273,-0.2897,-0.23078,-0.18644,-0.14273,-0.10612,-0.076539,4.7563,4.7759,4.8137,4.8605,4.895,4.9484,5.0115,5.0642,5.1304,5.192,5.2805,5.3403,5.435,5.5216,5.6016,5.6979,5.7953,5.8903,6.0047,6.1158,6.2554,6.3692,6.5204,6.6475,6.8077,6.9583,7.1243,7.2798,7.4517,7.6064,7.755,7.8864,8.0075,8.0881,8.1607,8.2188,8.267,8.3047,8.336,8.3637,8.3902,8.4213,8.4557,8.5007
17,17,R/Ohm,0.7176,0.51141,0.3503,0.20502,0.088561,-0.012964,-0.10102,-0.17629,-0.24288,-0.30732,-0.36072,-0.40928,-0.45448,-0.49703,-0.53821,-0.57662,-0.61495,-0.65389,-0.69286,-0.73405,-0.77668,-0.82133,-0.87008,-0.92255,-0.97925,-1.0401,-1.1061,-1.1783,-1.254,-1.3319,-1.4128,-1.4953,-1.5737,-1.6461,-1.708,-1.7601,-1.7873,-1.7915,-1.767,-1.6994,-1.5853,-1.4275,-1.2259,-1.0022,5.0071,5.0309,5.0468,5.0778,5.1075,5.1417,5.1822,5.227,5.2782,5.3363,5.3966,5.462,5.5302,5.6039,5.6805,5.7636,5.8487,5.9381,6.0324,6.1305,6.2339,6.3427,6.4566,6.5767,6.705,6.8405,6.9856,7.1406,7.309,7.4912,7.6895,7.9046,8.1388,8.392,8.6607,8.946,9.2473,9.5798,9.9303,10.293,10.657,10.999,11.304,11.552
18,18,R/Ohm,0.18551,0.079278,-0.0091139,-0.092914,-0.15632,-0.21698,-0.26743,-0.31719,-0.37144,-0.41251,-0.44919,-0.48656,-0.51535,-0.54106,-0.58342,-0.61762,-0.64349,-0.68278,-0.72741,-0.73528,-0.74824,-0.77816,-0.80888,-0.80885,-0.81684,-0.80574,-0.78797,-0.75604,-0.71638,-0.66739,-0.61112,-0.55251,-0.49498,-0.43228,-0.37168,-0.31567,-0.26336,-0.21506,-0.1758,-0.13926,-0.10624,-0.079074,-0.059871,-0.044065,4.5588,4.5825,4.6198,4.6609,4.7117,4.7484,4.8011,4.8579,4.9163,4.9558,5.0372,5.1083,5.1774,5.2579,5.3502,5.4352,5.5269,5.6168,5.7093,5.83,5.945,6.0734,6.2035,6.3271,6.4581,6.5888,6.726,6.8632,6.9844,7.0961,7.1964,7.2827,7.3546,7.4008,7.4465,7.4839,7.5107,7.5319,7.5456,7.5567,7.562,7.5672,7.5703,7.5779
