File............:  it-co-soec-1 - MAY,11.2015

System..........:  
Control.........:  
Temperature.....:  -0.1+-0.3C
Time............:  MAY,11.2015
Comment.........:  14:49:58 - 16:03:58
                   
                   
                   
                   
Electr.area/sqcm:  
                    
polarization data

Lines:   444
Columns: 3

Number     Time/s     Potential/V    Current/A 
210         2090.0     1.2854e+00    1.2000e-01
211         2100.0     1.2959e+00    1.2000e-01
212         2110.0     1.2873e+00    1.2000e-01
213         2120.0     1.2932e+00    1.2000e-01
214         2130.0     1.2983e+00    1.2000e-01
215         2140.0     1.2833e+00    1.2000e-01
216         2150.0     1.2867e+00    1.2000e-01
217         2160.0     1.2891e+00    1.2000e-01
218         2170.0     1.2838e+00    1.2000e-01
219         2180.0     1.2745e+00    1.2000e-01
220         2190.0     1.2917e+00    1.2000e-01
221         2200.0     1.2934e+00    1.2000e-01
222         2210.0     1.2930e+00    1.2000e-01
223         2220.0     1.2933e+00    1.2000e-01
224         2230.0     1.2482e+00    1.2000e-01
225         2240.0     1.2832e+00    1.2000e-01
226         2250.0     1.2749e+00    1.2000e-01
227         2260.0     1.2502e+00    1.2000e-01
228         2270.0     1.2764e+00    1.2000e-01
229         2280.0     1.2786e+00    1.2000e-01
230         2290.0     1.2764e+00    1.2000e-01
231         2300.0     1.2762e+00    1.2000e-01
232         2310.0     1.2895e+00    1.2000e-01
233         2320.0     1.2775e+00    1.2000e-01
234         2330.0     1.2846e+00    1.2000e-01
235         2340.0     1.2841e+00    1.2000e-01
236         2350.0     1.2848e+00    1.2000e-01
237         2360.0     1.2808e+00    1.2000e-01
238         2370.0     1.2661e+00    1.2000e-01
239         2380.0     1.2850e+00    1.2000e-01
240         2390.0     1.2773e+00    1.2000e-01
241         2400.0     1.2878e+00    1.2000e-01
242         2410.0     1.2938e+00    1.2000e-01
243         2420.0     1.2826e+00    1.2000e-01
244         2430.0     1.2900e+00    1.2000e-01
245         2440.0     1.2824e+00    1.2000e-01
246         2450.0     1.2856e+00    1.2000e-01
247         2460.0     1.2810e+00    1.2000e-01
248         2470.0     1.2931e+00    1.2000e-01
249         2480.0     1.2797e+00    1.2000e-01
250         2490.0     1.2898e+00    1.2000e-01
251         2500.0     1.2900e+00    1.2000e-01
252         2510.0     1.2901e+00    1.2000e-01
253         2520.0     1.2866e+00    1.2000e-01
254         2530.0     1.2772e+00    1.2000e-01
255         2540.0     1.2800e+00    1.2000e-01
256         2550.0     1.2842e+00    1.2000e-01
257         2560.0     1.2849e+00    1.2000e-01
258         2570.0     1.2890e+00    1.2000e-01
259         2580.0     1.2780e+00    1.2000e-01
260         2590.0     1.2880e+00    1.2000e-01
261         2600.0     1.2906e+00    1.2000e-01
262         2610.0     1.2890e+00    1.2000e-01
263         2620.0     1.2848e+00    1.2000e-01
264         2630.0     1.2894e+00    1.2000e-01
265         2640.0     1.2853e+00    1.2000e-01
266         2650.0     1.2928e+00    1.2000e-01
267         2660.0     1.2784e+00    1.2000e-01
268         2670.0     1.2844e+00    1.2000e-01
269         2680.0     1.2889e+00    1.2000e-01
270         2690.0     1.2927e+00    1.2000e-01
271         2700.0     1.2846e+00    1.2000e-01
272         2710.0     1.2910e+00    1.2000e-01
273         2720.0     1.2804e+00    1.2000e-01
274         2730.0     1.2820e+00    1.2000e-01
275         2740.0     1.2851e+00    1.2000e-01
276         2750.0     1.2890e+00    1.2000e-01
277         2760.0     1.2891e+00    1.2000e-01
278         2770.0     1.2919e+00    1.2000e-01
279         2780.0     1.2791e+00    1.2000e-01
280         2790.0     1.2850e+00    1.2000e-01
281         2800.0     1.2920e+00    1.2000e-01
282         2810.0     1.2753e+00    1.2000e-01
283         2820.0     1.2805e+00    1.2000e-01
284         2830.0     1.2812e+00    1.2000e-01
285         2840.0     1.2908e+00    1.2000e-01
286         2850.0     1.2792e+00    1.2000e-01
287         2860.0     1.2675e+00    1.2000e-01
288         2870.0     1.2878e+00    1.2000e-01
289         2880.0     1.2929e+00    1.2000e-01
290         2890.0     1.2848e+00    1.2000e-01
291         2900.0     1.2889e+00    1.2000e-01
292         2910.0     1.2804e+00    1.2000e-01
293         2920.0     1.2888e+00    1.2000e-01
294         2930.0     1.2913e+00    1.2000e-01
295         2940.0     1.2923e+00    1.2000e-01
296         2950.0     1.2826e+00    1.2000e-01
297         2960.0     1.2688e+00    1.2000e-01
298         2970.0     1.2871e+00    1.2000e-01
299         2980.0     1.2650e+00    1.2000e-01
300         2990.0     1.2830e+00    1.2000e-01
301         3000.0     1.2889e+00    1.2000e-01
302         3010.0     1.2952e+00    1.2000e-01
303         3020.0     1.2877e+00    1.2000e-01
304         3030.0     1.2645e+00    1.2000e-01
305         3040.0     1.2915e+00    1.2000e-01
306         3050.0     1.2875e+00    1.2000e-01
307         3060.0     1.2877e+00    1.2000e-01
308         3070.0     1.2926e+00    1.2000e-01
309         3080.0     1.2799e+00    1.2000e-01
310         3090.0     1.2874e+00    1.2000e-01
311         3100.0     1.2947e+00    1.2000e-01
312         3110.0     1.2884e+00    1.2000e-01
313         3120.0     1.2820e+00    1.2000e-01
314         3130.0     1.2945e+00    1.2000e-01
315         3140.0     1.2838e+00    1.2000e-01
316         3150.0     1.2885e+00    1.2000e-01
317         3160.0     1.2932e+00    1.2000e-01
318         3170.0     1.2804e+00    1.2000e-01
319         3180.0     1.2814e+00    1.2000e-01
320         3190.0     1.2879e+00    1.2000e-01
321         3200.0     1.2876e+00    1.2000e-01
322         3210.0     1.2850e+00    1.2000e-01
323         3220.0     1.2848e+00    1.2000e-01
324         3230.0     1.2814e+00    1.2000e-01
325         3240.0     1.2858e+00    1.2000e-01
326         3250.0     1.2835e+00    1.2000e-01
327         3260.0     1.2471e+00    1.2000e-01
328         3270.0     1.2760e+00    1.2000e-01
329         3280.0     1.2826e+00    1.2000e-01
330         3290.0     1.2900e+00    1.2000e-01
331         3300.0     1.2892e+00    1.2000e-01
332         3310.0     1.2909e+00    1.2000e-01
333         3320.0     1.2901e+00    1.2000e-01
334         3330.0     1.2944e+00    1.2000e-01
335         3340.0     1.2829e+00    1.2000e-01
336         3350.0     1.2784e+00    1.2000e-01
337         3360.0     1.2843e+00    1.2000e-01
338         3370.0     1.2743e+00    1.2000e-01
339         3380.0     1.2817e+00    1.2000e-01
340         3390.0     1.2761e+00    1.2000e-01
341         3400.0     1.2782e+00    1.2000e-01
342         3410.0     1.2661e+00    1.2000e-01
343         3420.0     1.2848e+00    1.2000e-01
344         3430.0     1.2879e+00    1.2000e-01
345         3440.0     1.2741e+00    1.2000e-01
346         3450.0     1.2905e+00    1.2000e-01
347         3460.0     1.2921e+00    1.2000e-01
348         3470.0     1.2550e+00    1.2000e-01
349         3480.0     1.2896e+00    1.2000e-01
350         3490.0     1.2828e+00    1.2000e-01
351         3500.0     1.2898e+00    1.2000e-01
352         3510.0     1.2839e+00    1.2000e-01
353         3520.0     1.2914e+00    1.2000e-01
354         3530.0     1.2942e+00    1.2000e-01
355         3540.0     1.2892e+00    1.2000e-01
356         3550.0     1.2955e+00    1.2000e-01
357         3560.0     1.2934e+00    1.2000e-01
358         3570.0     1.2903e+00    1.2000e-01
359         3580.0     1.2821e+00    1.2000e-01
360         3590.0     1.2879e+00    1.2000e-01
361         3600.0     1.2859e+00    1.2000e-01
362         3610.0     1.2589e+00    1.2000e-01
363         3620.0     1.2838e+00    1.2000e-01
364         3630.0     1.2908e+00    1.2000e-01
365         3640.0     1.2918e+00    1.2000e-01
366         3650.0     1.2839e+00    1.2000e-01
367         3660.0     1.2932e+00    1.2000e-01
368         3670.0     1.2895e+00    1.2000e-01
369         3680.0     1.2917e+00    1.2000e-01
370         3690.0     1.2963e+00    1.2000e-01
371         3700.0     1.2761e+00    1.2000e-01
372         3710.0     1.2881e+00    1.2000e-01
373         3720.0     1.2941e+00    1.2000e-01
374         3730.0     1.2854e+00    1.2000e-01
375         3740.0     1.2823e+00    1.2000e-01
376         3750.0     1.2897e+00    1.2000e-01
377         3760.0     1.2833e+00    1.2000e-01
378         3770.0     1.2849e+00    1.2000e-01
379         3780.0     1.2810e+00    1.2000e-01
380         3790.0     1.2699e+00    1.2000e-01
381         3800.0     1.2870e+00    1.2000e-01
382         3810.0     1.2936e+00    1.2000e-01
383         3820.0     1.2584e+00    1.2000e-01
384         3830.0     1.2881e+00    1.2000e-01
385         3840.0     1.2910e+00    1.2000e-01
386         3850.0     1.2851e+00    1.2000e-01
387         3860.0     1.2817e+00    1.2000e-01
388         3870.0     1.2861e+00    1.2000e-01
389         3880.0     1.2825e+00    1.2000e-01
390         3890.0     1.2875e+00    1.2000e-01
391         3900.0     1.2886e+00    1.2000e-01
392         3910.0     1.2912e+00    1.2000e-01
393         3920.0     1.2813e+00    1.2000e-01
394         3930.0     1.2900e+00    1.2000e-01
395         3940.0     1.2919e+00    1.2000e-01
396         3950.0     1.2690e+00    1.2000e-01
397         3960.0     1.2945e+00    1.2000e-01
398         3970.0     1.2759e+00    1.2000e-01
399         3980.0     1.2858e+00    1.2000e-01
400         3990.0     1.2905e+00    1.2000e-01
401         4000.0     1.2811e+00    1.2000e-01
402         4010.0     1.2941e+00    1.2000e-01
403         4020.0     1.2810e+00    1.2000e-01
404         4030.0     1.2955e+00    1.2000e-01
405         4040.0     1.2833e+00    1.2000e-01
406         4050.0     1.2960e+00    1.2000e-01
407         4060.0     1.2954e+00    1.2000e-01
408         4070.0     1.2900e+00    1.2000e-01
409         4080.0     1.2610e+00    1.2000e-01
410         4090.0     1.2777e+00    1.2000e-01
411         4100.0     1.2805e+00    1.2000e-01
412         4110.0     1.2900e+00    1.2000e-01
413         4120.0     1.2481e+00    1.2000e-01
414         4130.0     1.2761e+00    1.2000e-01
415         4140.0     1.2761e+00    1.2000e-01
416         4150.0     1.2801e+00    1.2000e-01
417         4160.0     1.2923e+00    1.2000e-01
418         4170.0     1.2835e+00    1.2000e-01
419         4180.0     1.2899e+00    1.2000e-01
420         4190.0     1.2736e+00    1.2000e-01
421         4200.0     1.2932e+00    1.2000e-01
422         4210.0     1.2788e+00    1.2000e-01
423         4220.0     1.2947e+00    1.2000e-01
424         4230.0     1.2797e+00    1.2000e-01
425         4240.0     1.2964e+00    1.2000e-01
426         4250.0     1.2985e+00    1.2000e-01
427         4260.0     1.3008e+00    1.2000e-01
428         4270.0     1.3026e+00    1.2000e-01
429         4280.0     1.3051e+00    1.2000e-01
430         4290.0     1.3050e+00    1.2000e-01
431         4300.0     1.2948e+00    1.2000e-01
432         4310.0     1.2928e+00    1.2000e-01
433         4320.0     1.2992e+00    1.2000e-01
434         4330.0     1.3009e+00    1.2000e-01
435         4340.0     1.3054e+00    1.2000e-01
436         4350.0     1.3058e+00    1.2000e-01
437         4360.0     1.3071e+00    1.2000e-01
438         4370.0     1.3048e+00    1.2000e-01
439         4380.0     1.3039e+00    1.2000e-01
440         4390.0     1.3023e+00    1.2000e-01
441         4400.0     1.2956e+00    1.2000e-01
442         4410.0     1.3006e+00    1.2000e-01
443         4420.0     1.2972e+00    1.2000e-01
444         4430.0     1.3059e+00    1.2000e-01

